case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,decode,sanity,132300,0.0,0.0,0.0,0.0,132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,decode,legacy_tone,132300,0.06309533419730178,0.04461542169214011,1.4142045912437775,0.0,132300,0.02122344197763173,0.014987473473631928,1.416078701655152,0.0,0.030601484093969143,0.6858947631410642,-9.472576277867715,0.0968211901739717,0.06830987614373947,0.021866935341310876,0.05865794517555045,-0.15279644480173174,0.0010719870317641433,0.0009364508287534465,0.02755018746544862,0.056789201311217084,0.9561552864955495,44.476373181009336,13.939159340564292,13.95913211650657,38.0836352455432,0.008727105726740706,0.05376775871559379,0.056789201311217084,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,decode,legacy_tone,132300,0.25118704972415123,0.17761719292909026,1.4142045912437773,0.0,132300,0.23855650950331417,0.1689720003249519,1.4118108860908525,0.0,0.05202479277537029,0.29290403658242725,-0.43085773088318297,0.09562841379972467,0.06760263686778294,0.02184623403657983,0.05865794517555578,-0.15750277866127219,0.0011676331120256123,0.002706579063320221,0.04681877389774145,0.18177537682222,0.9561540358735842,52.044912962493164,15.872646233238179,17.579598729322043,46.13591183427902,0.03360857006283352,0.150018537931174,0.18177537682222,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,decode,legacy_tone,132300,0.501184054322813,0.35439289154197073,1.4142045912437773,0.0,132300,0.7173200505236205,0.5227309841579146,1.3722547012956885,0.0,0.21153309709809734,0.5968886570430701,3.3783172605621363,0.08477560696101184,0.06107928590096903,0.021432224544067457,0.05865794517555223,-0.20338354046498797,0.0024773858759302714,0.04474625116791308,0.19047696739370037,0.3044789891437732,0.9557129679242597,55.78302957759381,17.790806633449332,25.429040141871045,49.99632714551528,0.06422178773874179,0.3044702495668124,0.3044789891437732,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,decode,broadband,220500,0.12589254117719373,0.08901930073581425,1.4142162445289197,0.0,220500,0.1365629639165235,0.059160545099504566,2.308345260964594,0.0,0.04674231667719407,0.5250806992509738,-6.179405280632152,6.355887842918949,0.2455825172901572,0.5179716087934843,1.7602991744932375,0.7990263666785655,0.0004917278262341895,0.0021848441683510952,0.03751888272223145,0.1210738662368659,0.8772151617012879,27.434621317624252,25.120094473356172,24.4252343384171,23.31007522554858,0.022750594280188892,0.11981500153494576,0.1210738662368659,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,decode,broadband,176400,0.12589254117941673,0.030732349077030683,4.096417779970769,0.0,176400,0.05787213389675105,0.013374817847964288,4.326947443666268,0.0,0.02227151742638756,0.7246929732108653,-6.924492514435661,1.9251656909226733,1.4717567617133334,2.9449525446682374,10.636657942331315,-0.7822519002698117,0.61848803837349,0.0004960204884738846,0.01790714649930159,0.08859772282827445,0.7655346865621969,9.42735132858217,3.974171475254384,7.318592791232349,9.820272536255715,0.050719124686760056,0.08859772282827445,0.08299711554307337,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,decode,broadband,176400,0.1,0.02098551384685344,4.765191871391511,0.0,176400,0.056606503208952955,0.010835798266968113,5.224027045751897,0.0,0.010933916052128028,0.5210220789407763,-5.745029771381174,0.2569745496167371,0.13520958895639207,0.19862301509414237,1.144960936753371,0.17965732971485998,0.018630412396001494,0.00011955052023498295,0.008723565996875892,0.06001098255895269,0.9636492259027681,6.164203726785364,0.731890943597711,4.192389929210029,6.493960846906765,0.08722026921840353,0.04870837046411092,0.06001098255895269,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,decode,dynamic,132300,0.398104645142192,0.1625265717998708,2.4494742043313593,0.0,132300,0.5116594553902944,0.20555179978470933,2.4891995882604574,0.0,0.07018673057444268,0.4318477267881342,78.53937319218942,69.04055771439944,39.62553536489142,77.67461578769995,229.01887936994598,-0.5697163333788381,0.8516892847362855,0.004926177148729406,0.03635175382820209,0.2460593284010554,0.953977552958308,3.182079783698305,3.536320683051385,3.681917595035848,3.0396700714259732,0.051898653339783773,0.18541311709090996,0.2460593284010554,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,decode,dynamic,132300,0.6999955595175372,0.31262330900515617,2.2391022657430577,0.0,132300,1.0,0.461310770966842,2.167736074976402,0.0,0.19509156221206145,0.6240467572072297,-1.1507854104580688,4.937829788972029,0.39871789872367397,0.028823979027244935,18.89880717641264,0.632719448489319,0.980748779841964,0.03806071764634264,0.13029585130917215,0.4913327347806615,0.9446916488914935,45.72818413729047,13.881622769407835,13.642047765184689,39.45343638663947,0.10097133046473172,0.48984129760692274,0.4913327347806615,0.0,1.200000000000001,0,,,,,,,,,,,,False,False,True,True,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,decode,sanity,132300,0.2327924982818279,0.12535636752853382,1.8570456600765757,0.0,132300,0.23716260013744522,0.13744867730275226,1.7254629494546347,0.0,0.035053172923183336,0.279628180157697,0.8017851309917208,0.1657045866725667,0.09078536275790237,0.02787612906613371,0.08220418025464937,0.4568168596853812,0.003969424084927842,0.0012287249319825931,0.028429913065465648,0.1676407723058162,0.9685868970804509,63.119332451755874,16.396468885375384,21.30883474030898,61.13941850047425,0.04120428121042231,0.11902480092923101,0.1676407723058162,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
